지역,업소명,사업자명(대표자),소재지,총면적(제곱미터) ,홀수(홀),세부종류
경기,크리스탈밸리C.C,㈜한송 (장대수),가평군 상면 대보간선로 602-111,926085,18,회원제
경기,리앤리C.C,리앤리어드바이저스㈜ (이강복),가평군 조종면 운악청계로 702-24,1372780,27,대중제
경기,베뉴지C.C,부국관광㈜ (김연경),가평군 가평읍 용추로 171번길 100,1694212,27,대중제
경기,자유로컨트리클럽,백학관광개발원㈜(김일중),연천군 백학면 노아로297번길 179-55,1385761,27,대중제
부산,부산컨트리클럽,(사)부산컨트리클럽(서정의),부산 금정구 중앙대로 2327번길 112(노포동),971759,18,회원제
부산,동래베네스트골프클럽,삼성물산(주)(정금용),부산 금정구 선동 하정로 66,1072081,18,회원제
부산,아시아드컨드리클럽,아시아드컨드리클럽㈜(황규태),부산 기장군 일광면 차양길 26,1450261,27,회원제
부산,해운대컨트리클럽,경원개발(주)(조성태),부산 기장군 정관면 병산2로 265,1527005,27,회원제
부산,하이스트컨트리클럽,(주)정상개발(박정오),부산 강서구 지상동 과학산단1로 172,375104,9,대중제
부산,해라컨트리클럽,㈜성우알앤디(김대원),부산 강서구 지상동 과학산단로 306번길 77,170913,9,대중제
부산,베이사이트골프클럽,일광개발(주)(백규현),부산 기장군 일광면 이천8길 100,1408628,27,회원제
부산,해운대비치골프앤리조트,해운대비치골프앤리조트㈜(박호성),부산 기장군 기장읍 대변로 74,846781,18,회원제
부산,기장동원로얄컨트리클럽,㈜남양종합개발(장정규),부산 기장군 기장읍 반송로 1345,384921,9,대중제
부산,스톤게이트컨트리클럽,㈜오션디앤씨(이치헌),부산 기장군 일광면 곡천길 317,1129738,18,대중제
서울,인서울27골프클럽,인서울27골프클럽㈜ (김태호),"서울시 강서구 오정로443-198, 인서울27골프클럽",998126,27,대중제
대구,팔공컨트리클럽,우경개발㈜(정찬우),대구광역시 동구 팔공산로 237길 186,769047,18,회원제
대구,냉천컨트리클럽,냉천개발㈜(윤상락),대구광역시 달성군 가창면 가창로 1037-9,181423,9,대중제
인천,인천국제컨트리클럽,㈜신태진,인천시 서구 도요지로 37,811919,18,회원제
인천,잭 니클라우스 골프클럽 코리아,송도국제도시개발유한회사,인천시 연수구 아카데미로 209,771912,18,회원제
인천,송도골프클럽,㈜송도골프,인천시 연수구 능허대로 236,116842,8,대중제
인천,인천그랜드컨트리클럽,㈜동군,인천시 서구 원석로 195,463583,18,대중제
인천,SKY72 골프클럽(바다코스),스카이72㈜,인천시 중구 공항동로 392,2685450,63,대중제
인천,SKY72 골프클럽(하늘코스),스카이72㈜,인천시 중구 공항동로135번길 267,934611,18,대중제
인천,베어즈베스트청라골프클럽,㈜블루아일랜드개발,인천시 서구 청라대로 316번길 45,1360105,27,대중제
인천,드림파크골프장,수도권매립지관리공사,인천시 서구 거월로 61,1533427,36,대중제
인천,오렌지듄스골프클럽,㈜오렌지링스,인천시 연수구 인천신항대로 1120,510720,18,대중제
인천,석모도컨트리클럽,해륜개발㈜,인천시 강화군 어류정길 177,717432,18,대중제
인천,영종오렌지골프장,㈜영종오렌지,인천시 중구 운서동 2851-15번지 일원,821952,18,대중제
인천,강화 선두리 골프장,㈜강호개발,인천시 강화군 해안남로 474번길 59,240286,9,대중제
광주,빛고을컨트리클럽,광주광역시도시공사사장,광주광역시 남구 효우로 153(노대동),201055,9,대중제
광주,에콜리안광산골프장,국민체육진흥공단이사장,광주광역시 광산구 오목내길 26(연산동),326823,9,대중제
광주,어등산컨트리클럽,(주)어등산리조트대표이사 고재철,광주광역시 광산구 무진대로 31(운수동),1567463,27,대중제
대전,유성컨트리클럽,강현모강은모,대전 유성구 현충원로 200(덕명동 215-7번지),1156423,18,회원제
대전,대덕복지센터,배재웅,대전 유성구 유성대로 1689번길 69(전민동 463번지),318382,9,대중제
대전,금실대덕밸리CC,정영숙,대전 유성구 테크노중앙로 210(용산동 676번지),259401,9,대중제
울산,보라골프장,반도개발(안영호),울주군 삼동면 삼동로 404,1425800,27,회원제
울산,삼남골프장,삼남(김혜숙),울주군 삼남면 방기가천로 179,247991,9,대중제
울산,더골프골프장,고암개발(노승현),울주군 서생면 용연길 206-52,806584,18,대중제
울산,울산골프장,울산개발(김석환),울주군 웅촌면 웅촌로 1,1428262,27,회원제
울산,베이스타즈CC,새정스타즈(정상헌),북구 어물동 산43-2 일원,730509,18,대중제
세종,세종에머슨컨트리클럽,세종에머슨㈜ ,세종시 전의면 운주산로 1510,1496123,27,회원제
세종,건설공제조합세종필드골프클럽,건설공제조합 ,세종시 정안세종로  1569,1009660,18,대중제
세종,세종레이캐슬골프&리조트,㈜자광홀딩스,세종시 전의면 의당전의로 252,1301532,27,대중제
강원,라데나골프클럽,두산큐벡스㈜(문희종),강원도 춘천시 신동면 칠전동길 72,1533823,27,회원제
강원,엘리시안 강촌컨트리클럽,지에스건설㈜(임병용),강원도 춘천시 남산면 북한강변길 688,1041925,27,회원제
강원,엘리시안 강촌대중골프장,지에스건설㈜(임병용),강원도 춘천시 남산면 북한강변길 688,445150,10,대중제
강원,제이드팰리스 골프클럽,한화호텔앤드리조트㈜ (김형조),강원도 춘천시 남산면 경춘로 212-30,986626,18,회원제
강원,남춘천컨트리클럽,주식회사 엠디아이레저개발(이형용),강원도 춘천시 신동면 오봉길 156,1365368,18,대중제
강원,휘슬링락컨트리클럽,㈜티시스(최창성),강원도 춘천시 남산면 동촌로 501,1716158,27,회원제
강원,오너스골프클럽,강촌칼론골프클럽㈜(김종현),강원도 춘천시 남산면 동촌로 667,1023599,18,대중제
강원,파가니카컨트리클럽,㈜레저플러스(조태석),강원도 춘천시 남면 소주고개로 145-10,1033746,18,대중제
강원,더플레이어스 골프클럽,㈜더플레이어스(권성호),강원도 춘천시 동산면 새술막길 438,1693564,27,대중제
강원,스프링베일리조트,㈜춘천골프아카 데미(홍순주),강원도 춘천시 동면 금베이길 93-27,289720,9,대중제
강원,로드힐스골프클럽,신영종합개발㈜(이정덕),강원도 춘천시 동산면 종자리로 148-16,1319723,27,대중제
강원,라비에벨컨트리클럽,코오롱글로벌㈜(윤창운)그린나래㈜(이정윤),강원도 춘천시 동산면 조양리 산 156강원도 홍천군 북방면 밭치리길 22-40,2090627,36,대중제
강원,베어크리크 춘천,삼보개발(주)(류경호),강원도 춘천시 신동면 혈동리 산49-1,922224,18,대중제
강원,오크밸리회원제골프장,에이치디씨리조트㈜(조영환),강원도 원주시 지정면 오크밸리1길 66,1839621,36,회원제
강원,오크밸리 대중골프장,에이치디씨리조트㈜(조영환),강원도 원주시 지정면 오크밸리1길 66,296695,9,대중제
강원,Oak Hills컨트리클럽,에이치디씨리조트㈜(조영환),강원도 원주시 지정면 오크밸리2길 58,929669,18,회원제
강원,센추리21컨트리클럽,센추리개발㈜(이병철),강원도 원주시 문막읍 궁말길 193,1034680,18,회원제
강원,센추리21컨트리클럽Ⅱ,센추리개발㈜(이병철),강원도 원주시 문막읍 궁말길 193,771962,18,대중제
강원,센추리21퍼블릭,센추리개발㈜(이병철),강원도 원주시 문막읍 궁말길 193,327800,9,대중제
